# redshift	D_L [Mpc]
1.04236067e+01	1.12046154e+05
1.06420924e+01	1.14718042e+05
1.08651577e+01	1.17450989e+05
1.10928986e+01	1.20246339e+05
1.13254132e+01	1.23105467e+05
1.15628013e+01	1.26029775e+05
1.18051653e+01	1.29020695e+05
1.20526094e+01	1.32079690e+05
1.23052400e+01	1.35208256e+05
1.25631660e+01	1.38407918e+05
1.28264983e+01	1.41680236e+05
1.30953502e+01	1.45026802e+05
1.33698374e+01	1.48449243e+05
1.36500781e+01	1.51949220e+05
1.39361927e+01	1.55528430e+05
1.42283046e+01	1.59188605e+05
1.45265393e+01	1.62931517e+05
1.48310251e+01	1.66758972e+05
1.51418933e+01	1.70672816e+05
1.54592774e+01	1.74674937e+05
1.57833141e+01	1.78767258e+05
1.61141428e+01	1.82951748e+05
1.64519059e+01	1.87230416e+05
1.67967487e+01	1.91605312e+05
1.71488197e+01	1.96078533e+05
1.75082703e+01	2.00652218e+05
1.78752553e+01	2.05328553e+05
1.82499324e+01	2.10109771e+05
1.86324631e+01	2.14998150e+05
1.90230119e+01	2.19996020e+05
1.94217468e+01	2.25105757e+05
1.98288395e+01	2.30329791e+05
2.02444651e+01	2.35670601e+05
2.06688025e+01	2.41130720e+05
2.11020343e+01	2.46712735e+05
2.15443469e+01	2.52419287e+05
2.19959307e+01	2.58253073e+05
2.24569800e+01	2.64216850e+05
2.29276931e+01	2.70313430e+05
2.34082728e+01	2.76545687e+05
2.38989257e+01	2.82916555e+05
2.43998630e+01	2.89429032e+05
2.49113003e+01	2.96086176e+05
2.54334576e+01	3.02891115e+05
2.59665597e+01	3.09847038e+05
2.65108360e+01	3.16957207e+05
2.70665207e+01	3.24224948e+05
2.76338529e+01	3.31653662e+05
2.82130768e+01	3.39246820e+05
2.88044415e+01	3.47007966e+05
2.94082017e+01	3.54940721e+05
3.00246171e+01	3.63048781e+05
3.06539530e+01	3.71335923e+05
3.12964801e+01	3.79805999e+05
3.19524751e+01	3.88462949e+05
3.26222201e+01	3.97310792e+05
3.33060034e+01	4.06353633e+05
3.40041193e+01	4.15595666e+05
3.47168682e+01	4.25041171e+05
3.54445567e+01	4.34694520e+05
3.61874981e+01	4.44560179e+05
3.69460121e+01	4.54642705e+05
3.77204249e+01	4.64946755e+05
3.85110700e+01	4.75477082e+05
3.93182876e+01	4.86238542e+05
4.01424249e+01	4.97236091e+05
4.09838367e+01	5.08474793e+05
4.18428851e+01	5.19959816e+05
4.27199397e+01	5.31696440e+05
4.36153779e+01	5.43690055e+05
4.45295851e+01	5.55946165e+05
4.54629547e+01	5.68470391e+05
4.64158883e+01	5.81268472e+05
4.73887961e+01	5.94346270e+05
4.83820966e+01	6.07709770e+05
4.93962174e+01	6.21365083e+05
5.04315949e+01	6.35318449e+05
5.14886745e+01	6.49576240e+05
5.25679112e+01	6.64144965e+05
5.36697695e+01	6.79031266e+05
5.47947234e+01	6.94241929e+05
5.59432571e+01	7.09783882e+05
5.71158648e+01	7.25664199e+05
5.83130511e+01	7.41890103e+05
5.95353313e+01	7.58468972e+05
6.07832313e+01	7.75408336e+05
6.20572881e+01	7.92715888e+05
6.33580499e+01	8.10399479e+05
6.46860766e+01	8.28467129e+05
6.60419396e+01	8.46927026e+05
6.74262224e+01	8.65787530e+05
6.88395207e+01	8.85057180e+05
7.02824426e+01	9.04744692e+05
7.17556092e+01	9.24858967e+05
7.32596543e+01	9.45409095e+05
7.47952252e+01	9.66404355e+05
7.63629826e+01	9.87854224e+05
7.79636013e+01	1.00976838e+06
7.95977700e+01	1.03215670e+06
8.12661920e+01	1.05502927e+06
8.29695852e+01	1.07839639e+06
8.47086827e+01	1.10226859e+06
8.64842328e+01	1.12665660e+06
8.82969996e+01	1.15157138e+06
9.01477631e+01	1.17702414e+06
